Time_Interval,Nodal_Price_Node1,Nodal_Price_Node2
1,-0.0,-0.0
2,41.81216,41.81216
3,49.4,49.4
4,49.4,49.4
5,41.81216,41.81216
6,49.4,49.4
7,49.4,49.4
8,49.4,49.4
9,41.81216,41.81216
10,41.81216,41.81216
11,41.81216,41.81216
12,41.81216,41.81216
13,41.81216,49.4
14,41.81216,49.4
15,41.81216,49.4
16,41.81216,41.81216
17,49.4,49.4
18,49.4,49.4
19,49.4,49.4
20,49.4,49.4
21,49.4,49.4
22,49.4,49.4
23,49.4,49.4
24,49.4,49.4
25,41.81216,41.81216
26,41.81216,41.81216
27,41.81216,41.81216
28,41.81216,41.81216
29,41.81216,41.81216
30,49.4,49.4
31,49.4,49.4
32,49.4,49.4
33,41.81216,41.81216
34,41.81216,41.81216
35,41.81216,41.81216
36,41.81216,41.81216
37,41.81216,41.81216
38,41.81216,41.81216
39,41.81216,41.81216
40,49.4,49.4
41,49.4,49.4
42,49.4,49.4
43,49.4,49.4
44,49.4,49.4
45,49.4,49.4
46,41.81216,41.81216
47,41.81216,41.81216
48,41.81216,41.81216
49,41.81216,41.81216
50,41.81216,41.81216
51,41.81216,41.81216
52,41.81216,41.81216
53,41.81216,41.81216
54,49.39999999999999,49.39999999999999
55,49.39999999999999,49.39999999999999
56,49.39999999999999,49.39999999999999
57,41.81216,41.81216
58,41.81216,41.81216
59,41.81216,41.81216
60,41.81216,41.81216
61,41.81216,41.81216
62,41.81216,41.81216
63,41.81216,41.81216
64,41.81216,41.81216
65,49.39999999999999,49.4
66,49.39999999999999,49.4
67,49.39999999999999,49.4
68,49.39999999999999,49.4
69,49.39999999999999,49.4
70,41.81216,41.81216
71,41.81216,41.81216
72,41.81216,41.81216
73,41.81216,41.81216
74,41.81216,41.81216
75,41.81216,41.81216
76,49.4,49.4
77,49.4,49.4
78,49.4,49.4
79,49.39999999999999,49.4
80,49.39999999999999,49.4
81,49.4,49.4
82,41.81216,49.4
83,41.81216,49.4
84,41.81216,49.4
85,41.81216,49.4
86,41.81216,49.4
