Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
5660,1,1,0.309,0.066,1,1,0,0.8908
5661,1,1,0.848,0,1,1,0,0.8848
5662,1,1,0.762,0,1,1,0,0.8454
5663,1,1,0.527,0,1,1,0,0.818
5664,1,1,0.526,0,1,1,0,0.8008
5665,1,1,0.439,0,1,1,0,0.7602
5666,1,1,0.36,0,1,1,0,0.7212
5667,1,1,0.369,0,1,1,0,0.7006
5668,1,1,0.294,0,1,1,0,0.6534
5669,1,1,0.238,0,1,1,0,0.5986
5670,1,1,0.244,0.023666667,1,1,0,0.5272
5671,1,1,0.121,0.26,1,1,0.0256,0.4292
5672,1,1,0.026,0.412666667,1,1,0.167,0.4372
5673,1,1,0.019,0.526333333,1,1,0.3312,0.5234
5674,1,1,0.016,0.591,1,1,0.4756,0.496
5675,1,1,0.057,0.616333333,1,1,0.589,0.4588
5676,1,1,0.092,0.655333333,1,1,0.6498,0.4416
5677,1,1,0.099,0.661333333,1,1,0.6642,0.4292
5678,1,1,0.202,0.670333333,1,1,0.6294,0.4024
5679,1,1,0.456,0.640333333,1,1,0.5518,0.3818
5680,1,1,0.528,0.577,1,1,0.4396,0.3822
5681,1,1,0.368,0.534666667,1,1,0.297,0.3882
5682,1,1,0.463,0.411333333,1,1,0.1418,0.3668
5683,1,1,0.588,0.241,1,1,0.021,0.4312
5684,1,1,0.609,0.074,1,1,0,0.5638
5685,1,1,0.701,0,1,1,0,0.5794
5686,1,1,0.609,0,1,1,0,0.5492
5687,1,1,0.614,0,1,1,0,0.5258
5688,1,1,0.394,0,1,1,0,0.496
5689,1,1,0.296,0,1,1,0,0.4588
5690,1,1,0.247,0,1,1,0,0.4146
5691,1,1,0.161,0,1,1,0,0.4128
5692,1,1,0.135,0,1,1,0,0.4254
5693,1,1,0.183,0,1,1,0,0.319
5694,1,1,0.237,0.048666667,1,1,0,0.1918
5695,1,1,0.319,0.275,1,1,0.0146,0.1284
5696,1,1,0.192,0.444333333,1,1,0.0946,0.1328
5697,1,1,0.216,0.565,1,1,0.1948,0.1956
5698,1,1,0.077,0.621333333,1,1,0.2944,0.1916
5699,1,1,0.083,0.642,1,1,0.3672,0.1456
5700,1,1,0.103,0.671333333,1,1,0.4132,0.0894
5701,1,1,0.101,0.674,1,1,0.4214,0.0534
5702,1,1,0.176,0.685,1,1,0.4074,0.0394
5703,1,1,0.32,0.657,1,1,0.3676,0.038
5704,1,1,0.483,0.628,1,1,0.2912,0.047
5705,1,1,0.609,0.588666667,1,1,0.1948,0.0676
5706,1,1,0.786,0.466333333,1,1,0.0886,0.1078
5707,1,1,0.54,0.279333333,1,1,0.0144,0.1924
5708,1,1,0.646,0.07,1,1,0,0.3144
5709,1,1,0.759,0,1,1,0,0.3742
5710,1,1,0.658,0,1,1,0,0.3536
5711,1,1,0.254,0,1,1,0,0.2992
5712,1,1,0.121,0,1,1,0,0.2536
5713,1,1,0.423,0,1,1,0,0.2042
5714,1,1,0.3,0,1,1,0,0.1478
