Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
324,198574,96768.9
325,204477,99664.5
326,204485,99427
327,203107,98459.9
328,203532,95267.9
329,204937,91574.3
330,214457,86476.6
331,223714,83259.9
332,217919,80045.1
333,203612,78851.9
334,186107,78107.1
335,170746,77814.5
336,158278,78255.3
337,145140,80098.3
338,137694,88619.8
339,136594,92716.2
340,135835,93151.3
341,136505,92034.1
342,141916,93375.5
343,150099,91542
344,157297,90582.5
345,167927,91760.5
346,178005,93092.4
347,185941,95074.1
348,194437,98100.8
349,201981,102655.1
350,203743,101855.2
351,204887,101365
352,207281,98699.3
353,212433,96117.2
354,220955,92131
355,227663,89776.9
356,220779,87367.7
357,207534,86725.5
358,187852,86548.8
359,168263,87035.2
360,151971,88023.2
361,136335,90175.9
362,133292,98121.7
363,132307,99905.8
364,134518,99795.6
365,140003,98796.2
366,152460,100817.8
367,171482,96850.6
368,185944,95013.3
369,189791,94787.2
370,189160,93789.7
371,193053,94401.5
372,197220,96645.4
373,199840,102307.4
374,200883,100272.5
375,207986,98883.6
376,221485,96571.3
377,244447,94851.8
378,259580,92094.9
379,230393,89216.4
380,195879,86383.5
381,180637,85684.3
382,158055,85311.9
383,144881,85538
384,144111,86294.2
385,142661,88420.3
386,139575,94319.8
387,138274,96653
388,140648,95551
389,148462,94224.8
390,169602,96012.7
391,196304,91534.4
392,206466,89161.3
393,202128,88809.8
394,195552,88735.7
395,195940,89168.9
396,199090,90951.1
397,200944,95874
398,201774,95370.5
399,207952,94302.7
400,219684,92243.1
401,242479,90398.2
402,259507,87679.3
403,231705,85112.4
404,199443,82771.6
405,182483,82452.4
406,157482,82646.2
407,143189,83284.6
408,142027,84667.8
409,142343,87295.5
410,139109,95733.4
411,137906,98556.8
412,140469,99979.9
413,148130,98435.2
414,167500,100266.8
415,192606,96299.6
416,201837,93880.9
417,197980,94150.7
418,192084,94428.1
419,193459,95630.8
420,197008,98055.2
421,199207,101836.2
422,200188,100464.4
423,207046,99425.1
424,219979,96330
425,241108,93176
426,255669,88764.2
427,226903,86109.9
428,193999,83592.4
429,177036,83292.2
430,154405,83231.4
431,140558,84063.6
432,139099,85338.5
433,138618,87734.4
434,135375,97483.3
435,133859,101323.2
436,136250,100694.3
437,143180,98775.3
438,160991,100574.6
439,183591,97646.7
440,193757,95647.9
441,190168,95839.8
442,185864,96354.7
443,188453,97585.9
444,192563,100196.5
445,194864,104186.5
446,195720,102495.5
447,202759,101306.1
448,217082,98051.4
449,236222,94591.5
450,249443,89828.2
451,219639,86809.1
452,187042,83953.4
453,171537,83240.9
454,151720,83007.2
455,140060,83596.2
456,136455,84810.3
457,133367,87120.7
458,129969,97456.7
459,128194,99987.5
460,130149,101131.3
461,136416,101218.7
462,153027,105964.9
463,174406,102242.8
464,185770,100962.2
465,183546,101876.1
466,179762,102755.8
467,182389,104281.5
468,186448,106761
469,189305,112075.3
470,190329,110395.7
471,197082,109109.4
472,211209,106610.9
473,231697,103569
474,243583,99611.3
475,213841,97105.2
476,182337,94722.6
477,167375,94357.8
478,150894,94285.6
479,140718,94667.5
480,140885,95689.7
481,141857,97846.2
482,133673,105459.5
483,131906,109016.3
484,130524,110203.8
485,132386,109554
486,139443,113977.2
487,147632,108566
488,154593,106441.8
489,164949,106443.7
490,176514,106496.9
491,185662,107441.2
492,194361,109403.9
493,200406,114687.8
494,199969,111269.7
495,199892,110735.8
496,199695,108060.6
497,203142,104975
498,212026,100766.5
499,219896,98458
500,214262,96461.1
501,199333,96284.4
502,178683,96381.3
503,163590,97023.5
504,150522,98330.7
505,134092,100703.8
506,132456,108324.7
507,131678,111611.7
508,130963,112702.3
509,131511,110961.9
510,136241,114817
511,143103,109307
512,149978,106230.9
513,159711,105603.9
514,168881,104946.5
515,175965,105146
516,184306,106928.2
517,191378,111940.4
518,191450,108839.6
519,186620,108258.2
520,187602,105657.1
521,196454,102501.2
522,202464,98302.2
523,218607,95942.4
524,214960,87335.4
525,199903,87115
526,179398,87234.7
